Key;time_full;hour;minute;second;minutes_after_00;period_of_day
1;00:00:00;0;0;0;0;Madrugada
2;00:00:01;0;0;1;0;Madrugada
3;00:00:02;0;0;2;0;Madrugada
4;00:00:03;0;0;3;0;Madrugada
5;00:00:04;0;0;4;0;Madrugada
6;00:00:05;0;0;5;0;Madrugada
7;00:00:06;0;0;6;0;Madrugada
8;00:00:07;0;0;7;0;Madrugada
9;00:00:08;0;0;8;0;Madrugada
10;00:00:09;0;0;9;0;Madrugada
11;00:00:10;0;0;10;0;Madrugada
12;00:00:11;0;0;11;0;Madrugada
13;00:00:12;0;0;12;0;Madrugada
14;00:00:13;0;0;13;0;Madrugada
15;00:00:14;0;0;14;0;Madrugada
16;00:00:15;0;0;15;0;Madrugada
17;00:00:16;0;0;16;0;Madrugada
18;00:00:17;0;0;17;0;Madrugada
19;00:00:18;0;0;18;0;Madrugada
20;00:00:19;0;0;19;0;Madrugada
21;00:00:20;0;0;20;0;Madrugada
22;00:00:21;0;0;21;0;Madrugada
23;00:00:22;0;0;22;0;Madrugada
24;00:00:23;0;0;23;0;Madrugada
25;00:00:24;0;0;24;0;Madrugada
26;00:00:25;0;0;25;0;Madrugada
27;00:00:26;0;0;26;0;Madrugada
28;00:00:27;0;0;27;0;Madrugada
29;00:00:28;0;0;28;0;Madrugada
30;00:00:29;0;0;29;0;Madrugada
31;00:00:30;0;0;30;0;Madrugada
32;00:00:31;0;0;31;0;Madrugada
33;00:00:32;0;0;32;0;Madrugada
34;00:00:33;0;0;33;0;Madrugada
35;00:00:34;0;0;34;0;Madrugada
36;00:00:35;0;0;35;0;Madrugada
37;00:00:36;0;0;36;0;Madrugada
38;00:00:37;0;0;37;0;Madrugada
39;00:00:38;0;0;38;0;Madrugada
40;00:00:39;0;0;39;0;Madrugada
41;00:00:40;0;0;40;0;Madrugada
42;00:00:41;0;0;41;0;Madrugada
43;00:00:42;0;0;42;0;Madrugada
44;00:00:43;0;0;43;0;Madrugada
45;00:00:44;0;0;44;0;Madrugada
46;00:00:45;0;0;45;0;Madrugada
47;00:00:46;0;0;46;0;Madrugada
48;00:00:47;0;0;47;0;Madrugada
49;00:00:48;0;0;48;0;Madrugada
50;00:00:49;0;0;49;0;Madrugada
51;00:00:50;0;0;50;0;Madrugada
52;00:00:51;0;0;51;0;Madrugada
53;00:00:52;0;0;52;0;Madrugada
54;00:00:53;0;0;53;0;Madrugada
55;00:00:54;0;0;54;0;Madrugada
56;00:00:55;0;0;55;0;Madrugada
57;00:00:56;0;0;56;0;Madrugada
58;00:00:57;0;0;57;0;Madrugada
59;00:00:58;0;0;58;0;Madrugada
60;00:00:59;0;0;59;0;Madrugada
61;00:01:00;0;1;0;1;Madrugada
62;00:01:01;0;1;1;1;Madrugada
63;00:01:02;0;1;2;1;Madrugada
64;00:01:03;0;1;3;1;Madrugada
65;00:01:04;0;1;4;1;Madrugada
66;00:01:05;0;1;5;1;Madrugada
67;00:01:06;0;1;6;1;Madrugada
68;00:01:07;0;1;7;1;Madrugada
69;00:01:08;0;1;8;1;Madrugada
70;00:01:09;0;1;9;1;Madrugada
71;00:01:10;0;1;10;1;Madrugada
72;00:01:11;0;1;11;1;Madrugada
73;00:01:12;0;1;12;1;Madrugada
74;00:01:13;0;1;13;1;Madrugada
75;00:01:14;0;1;14;1;Madrugada
76;00:01:15;0;1;15;1;Madrugada
77;00:01:16;0;1;16;1;Madrugada
78;00:01:17;0;1;17;1;Madrugada
79;00:01:18;0;1;18;1;Madrugada
80;00:01:19;0;1;19;1;Madrugada
81;00:01:20;0;1;20;1;Madrugada
82;00:01:21;0;1;21;1;Madrugada
83;00:01:22;0;1;22;1;Madrugada
84;00:01:23;0;1;23;1;Madrugada
85;00:01:24;0;1;24;1;Madrugada
86;00:01:25;0;1;25;1;Madrugada
87;00:01:26;0;1;26;1;Madrugada
88;00:01:27;0;1;27;1;Madrugada
89;00:01:28;0;1;28;1;Madrugada
90;00:01:29;0;1;29;1;Madrugada
91;00:01:30;0;1;30;1;Madrugada
92;00:01:31;0;1;31;1;Madrugada
93;00:01:32;0;1;32;1;Madrugada
94;00:01:33;0;1;33;1;Madrugada
95;00:01:34;0;1;34;1;Madrugada
96;00:01:35;0;1;35;1;Madrugada
97;00:01:36;0;1;36;1;Madrugada
98;00:01:37;0;1;37;1;Madrugada
99;00:01:38;0;1;38;1;Madrugada
100;00:01:39;0;1;39;1;Madrugada
101;00:01:40;0;1;40;1;Madrugada
102;00:01:41;0;1;41;1;Madrugada
103;00:01:42;0;1;42;1;Madrugada
104;00:01:43;0;1;43;1;Madrugada
105;00:01:44;0;1;44;1;Madrugada
106;00:01:45;0;1;45;1;Madrugada
107;00:01:46;0;1;46;1;Madrugada
108;00:01:47;0;1;47;1;Madrugada
109;00:01:48;0;1;48;1;Madrugada
110;00:01:49;0;1;49;1;Madrugada
111;00:01:50;0;1;50;1;Madrugada
112;00:01:51;0;1;51;1;Madrugada
113;00:01:52;0;1;52;1;Madrugada
114;00:01:53;0;1;53;1;Madrugada
115;00:01:54;0;1;54;1;Madrugada
116;00:01:55;0;1;55;1;Madrugada
117;00:01:56;0;1;56;1;Madrugada
118;00:01:57;0;1;57;1;Madrugada
119;00:01:58;0;1;58;1;Madrugada
120;00:01:59;0;1;59;1;Madrugada
121;00:02:00;0;2;0;2;Madrugada
122;00:02:01;0;2;1;2;Madrugada
123;00:02:02;0;2;2;2;Madrugada
124;00:02:03;0;2;3;2;Madrugada
125;00:02:04;0;2;4;2;Madrugada
126;00:02:05;0;2;5;2;Madrugada
127;00:02:06;0;2;6;2;Madrugada
128;00:02:07;0;2;7;2;Madrugada
129;00:02:08;0;2;8;2;Madrugada
130;00:02:09;0;2;9;2;Madrugada
131;00:02:10;0;2;10;2;Madrugada
132;00:02:11;0;2;11;2;Madrugada
133;00:02:12;0;2;12;2;Madrugada
134;00:02:13;0;2;13;2;Madrugada
135;00:02:14;0;2;14;2;Madrugada
136;00:02:15;0;2;15;2;Madrugada
137;00:02:16;0;2;16;2;Madrugada
138;00:02:17;0;2;17;2;Madrugada
139;00:02:18;0;2;18;2;Madrugada
140;00:02:19;0;2;19;2;Madrugada
141;00:02:20;0;2;20;2;Madrugada
142;00:02:21;0;2;21;2;Madrugada
143;00:02:22;0;2;22;2;Madrugada
144;00:02:23;0;2;23;2;Madrugada
145;00:02:24;0;2;24;2;Madrugada
146;00:02:25;0;2;25;2;Madrugada
147;00:02:26;0;2;26;2;Madrugada
148;00:02:27;0;2;27;2;Madrugada
149;00:02:28;0;2;28;2;Madrugada
150;00:02:29;0;2;29;2;Madrugada
151;00:02:30;0;2;30;2;Madrugada
152;00:02:31;0;2;31;2;Madrugada
153;00:02:32;0;2;32;2;Madrugada
154;00:02:33;0;2;33;2;Madrugada
155;00:02:34;0;2;34;2;Madrugada
156;00:02:35;0;2;35;2;Madrugada
157;00:02:36;0;2;36;2;Madrugada
158;00:02:37;0;2;37;2;Madrugada
159;00:02:38;0;2;38;2;Madrugada
160;00:02:39;0;2;39;2;Madrugada
161;00:02:40;0;2;40;2;Madrugada
162;00:02:41;0;2;41;2;Madrugada
163;00:02:42;0;2;42;2;Madrugada
164;00:02:43;0;2;43;2;Madrugada
165;00:02:44;0;2;44;2;Madrugada
166;00:02:45;0;2;45;2;Madrugada
167;00:02:46;0;2;46;2;Madrugada
168;00:02:47;0;2;47;2;Madrugada
169;00:02:48;0;2;48;2;Madrugada
170;00:02:49;0;2;49;2;Madrugada
171;00:02:50;0;2;50;2;Madrugada
172;00:02:51;0;2;51;2;Madrugada
173;00:02:52;0;2;52;2;Madrugada
174;00:02:53;0;2;53;2;Madrugada
175;00:02:54;0;2;54;2;Madrugada
176;00:02:55;0;2;55;2;Madrugada
177;00:02:56;0;2;56;2;Madrugada
178;00:02:57;0;2;57;2;Madrugada
179;00:02:58;0;2;58;2;Madrugada
180;00:02:59;0;2;59;2;Madrugada
181;00:03:00;0;3;0;3;Madrugada
182;00:03:01;0;3;1;3;Madrugada
183;00:03:02;0;3;2;3;Madrugada
184;00:03:03;0;3;3;3;Madrugada
185;00:03:04;0;3;4;3;Madrugada
186;00:03:05;0;3;5;3;Madrugada
187;00:03:06;0;3;6;3;Madrugada
188;00:03:07;0;3;7;3;Madrugada
189;00:03:08;0;3;8;3;Madrugada
190;00:03:09;0;3;9;3;Madrugada
191;00:03:10;0;3;10;3;Madrugada
192;00:03:11;0;3;11;3;Madrugada
193;00:03:12;0;3;12;3;Madrugada
194;00:03:13;0;3;13;3;Madrugada
195;00:03:14;0;3;14;3;Madrugada
196;00:03:15;0;3;15;3;Madrugada
197;00:03:16;0;3;16;3;Madrugada
198;00:03:17;0;3;17;3;Madrugada
199;00:03:18;0;3;18;3;Madrugada
200;00:03:19;0;3;19;3;Madrugada
201;00:03:20;0;3;20;3;Madrugada
202;00:03:21;0;3;21;3;Madrugada
203;00:03:22;0;3;22;3;Madrugada
204;00:03:23;0;3;23;3;Madrugada
205;00:03:24;0;3;24;3;Madrugada
206;00:03:25;0;3;25;3;Madrugada
207;00:03:26;0;3;26;3;Madrugada
208;00:03:27;0;3;27;3;Madrugada
209;00:03:28;0;3;28;3;Madrugada
210;00:03:29;0;3;29;3;Madrugada
211;00:03:30;0;3;30;3;Madrugada
212;00:03:31;0;3;31;3;Madrugada
213;00:03:32;0;3;32;3;Madrugada
214;00:03:33;0;3;33;3;Madrugada
215;00:03:34;0;3;34;3;Madrugada
216;00:03:35;0;3;35;3;Madrugada
217;00:03:36;0;3;36;3;Madrugada
218;00:03:37;0;3;37;3;Madrugada
219;00:03:38;0;3;38;3;Madrugada
220;00:03:39;0;3;39;3;Madrugada
221;00:03:40;0;3;40;3;Madrugada
222;00:03:41;0;3;41;3;Madrugada
223;00:03:42;0;3;42;3;Madrugada
224;00:03:43;0;3;43;3;Madrugada
225;00:03:44;0;3;44;3;Madrugada
226;00:03:45;0;3;45;3;Madrugada
227;00:03:46;0;3;46;3;Madrugada
228;00:03:47;0;3;47;3;Madrugada
229;00:03:48;0;3;48;3;Madrugada
230;00:03:49;0;3;49;3;Madrugada
231;00:03:50;0;3;50;3;Madrugada
232;00:03:51;0;3;51;3;Madrugada
233;00:03:52;0;3;52;3;Madrugada
234;00:03:53;0;3;53;3;Madrugada
235;00:03:54;0;3;54;3;Madrugada
236;00:03:55;0;3;55;3;Madrugada
237;00:03:56;0;3;56;3;Madrugada
238;00:03:57;0;3;57;3;Madrugada
239;00:03:58;0;3;58;3;Madrugada
240;00:03:59;0;3;59;3;Madrugada
241;00:04:00;0;4;0;4;Madrugada
242;00:04:01;0;4;1;4;Madrugada
243;00:04:02;0;4;2;4;Madrugada
244;00:04:03;0;4;3;4;Madrugada
245;00:04:04;0;4;4;4;Madrugada
246;00:04:05;0;4;5;4;Madrugada
247;00:04:06;0;4;6;4;Madrugada
248;00:04:07;0;4;7;4;Madrugada
249;00:04:08;0;4;8;4;Madrugada
250;00:04:09;0;4;9;4;Madrugada
251;00:04:10;0;4;10;4;Madrugada
252;00:04:11;0;4;11;4;Madrugada
253;00:04:12;0;4;12;4;Madrugada
254;00:04:13;0;4;13;4;Madrugada
255;00:04:14;0;4;14;4;Madrugada
256;00:04:15;0;4;15;4;Madrugada
257;00:04:16;0;4;16;4;Madrugada
258;00:04:17;0;4;17;4;Madrugada
259;00:04:18;0;4;18;4;Madrugada
260;00:04:19;0;4;19;4;Madrugada
261;00:04:20;0;4;20;4;Madrugada
262;00:04:21;0;4;21;4;Madrugada
263;00:04:22;0;4;22;4;Madrugada
264;00:04:23;0;4;23;4;Madrugada
265;00:04:24;0;4;24;4;Madrugada
266;00:04:25;0;4;25;4;Madrugada
267;00:04:26;0;4;26;4;Madrugada
268;00:04:27;0;4;27;4;Madrugada
269;00:04:28;0;4;28;4;Madrugada
270;00:04:29;0;4;29;4;Madrugada
271;00:04:30;0;4;30;4;Madrugada
